Arquivo,local,Local Solicitante,Documento,Data,Hora,Produto,Grupo,Qtd,UN,Val.Total,Peso_Produto_kg,Peso_Total_kg
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034697,23/05/2025,11:02:27,SIMETICONA EMULSAO OU SOLUÇAO OU 09.A.03.A,,-200.0,FR,"292,809476","0,150","30,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034697,23/05/2025,11:02:27,FORMOTEROL (FUMARATO) + BUDESONIDA 09.R.03,,-720.0,DO,"716,400065","0,100","72,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034708,23/05/2025,11:44:16,CARGA/REFIL PARA GRAMPEADAOR LINEAR,,-7.0,UN,"951,687933","0,100","0,700"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034708,23/05/2025,11:44:16,GRAMPEADOR LINEAR CORTANTE PARA,,-1.0,UN,"617,644040","0,100","0,100"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034747,23/05/2025,14:04:23,"TUBO CAPILAR DE VIDRO, ABERTO NAS",,-10.0,FR,"151,656350","0,100","1,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034749,23/05/2025,14:08:35,LANCETA DESCARTAVEL PARA USO,,-6.0,UN,"534,506580","0,100","0,600"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034922,23/05/2025,17:38:19,FENOBARBITAL SOLUCAO INJETAVEL 200 09.N.03,,-50.0,AM,"110,001051","0,150","7,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034922,23/05/2025,17:38:19,"FENTANILA SOLUCAO INJETAVEL 0,05 09.N.01.A",,-200.0,AM,"327,430694","0,150","30,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034922,23/05/2025,17:38:19,"FLUMAZENIL SOLUÇAO INJETAVEL 0,5 MG/ 09.V.",,-20.0,AM,"100,371131","0,100","2,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034922,23/05/2025,17:38:19,MORFINA SOLUCAO INJETAVEL 10MG/ML 09.N.02.,,-300.0,AM,"455,162880","0,150","45,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034922,23/05/2025,17:38:19,"MORFINA SOLUÇAO INJETAVEL 0,2 MG/ML 09.N.0",,-100.0,AM,"332,822726","0,100","10,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/034922,23/05/2025,17:38:20,TRAMADOL (CLORIDRATO) SOLUCAO 09.N.02.A,,-500.0,AM,"608,903570","0,150","75,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035052,26/05/2025,07:45:20,DETERGENTE ENZIMÁTICO,,-8.0,GL,"540,940731","1,000","8,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,LINHA ARTERIAL DE ENTRADA SIMPLES,,-144.0,UN,"889,446887","0,100","14,400"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,PAPEL GRAU CIRURGICO 25CM X 100M,,-6.0,RL,"531,860004","1,000","6,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,SERINGA HIPODERMICA 5ML COM AGULHA,,-2.45,UN,"738,269770","0,002","0,005"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,"AGULHA HIPODÉRMICA 13 X 0,45 COM",,-1.0,UN,"227,074040","0,002","0,002"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,PAPEL GRAU CIRÚRGICO 15CM X 100M,,-5.0,RL,"266,377170","0,100","0,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,"FRASCO COLETOR, 500 A 600 ML, PARA",,-48.0,UN,"411,492873","0,050","2,400"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,AGULHA ANESTÉSICA APLICAÇÃO DE,,-50.0,UN,"474,657295","0,002","0,100"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,"AGULHA ANESTÉSICA, APLICAÇÃO PARA",,-100.0,UM,"340,934330","0,002","0,200"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,"COLETOR DE URINA SISTEMA FECHADO,",,-160.0,UM,"512,369059","0,100","16,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,EQUIPO PARENTERAL PARA BOMBA DE,,-34.0,UN,"835,635100","0,100","3,400"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,ABAIXADOR DE LINGUA CONVENCIONAL EM,,-50.0,PC,"239,929220","0,100","5,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,"FILTRO BARREIRA HIDRÓFOBO ADULTO,",,-180.0,UM,"605,609820","0,100","18,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035055,26/05/2025,07:58:53,FÓRMULA INFANTIL PARA LACTENTES,,-9.6,GR,"686,004672","0,100","0,960"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035095,26/05/2025,09:49:26,INSULINA HUMANA REGULAR SOLUÇÃO OU 09.A.10,,-10.0,FA,"229,772536","0,150","1,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035095,26/05/2025,09:49:26,INSULINA GLARGINA SOLUÇÃO INJETÁVEL 09.A.1,,-30.0,UN,"448,800126","0,150","4,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035095,26/05/2025,09:49:26,INSULINA ANÁLOGA DE AÇAO ULTRA 09.A.10.A,,-30.0,UN,"779,999993","0,100","3,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035183,26/05/2025,11:52:12,AGULHA DESCARTAVEL PARA BIOPSIA DE,,-2.0,UM,"102,239761","0,002","0,004"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035183,26/05/2025,11:52:12,BOLSA PARA ESTOMIA ADULTO,,-50.0,UN,"821,875460","0,100","5,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035183,26/05/2025,11:52:12,CATETER DUPLO LUMEN PARA,,-10.0,UN,"643,844569","0,015","0,150"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035747,28/05/2025,09:33:49,DISPOSITIVO PARA COLETA MÚLTIPLA A,,-500.0,UN,"196,595115","0,100","50,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/035747,28/05/2025,09:33:49,CONJUNTO PARA DETERMINAÇAO DE,,-200.0,TE,"138,888198","0,100","20,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036342,29/05/2025,15:49:28,ACIDO TRANEXAMICO COMPRIMIDO 250 MG 09.B.0,,-96.0,CP,"148,056807","0,001","0,096"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036448,30/05/2025,07:05:38,CURATIVO COM FILME TRANSPARENTE,,-300.0,UM,"238,442415","0,008","2,400"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036604,30/05/2025,13:55:31,TROCATER ÓPTICO SEM LÂMINA,,-2.0,UM,"300,000000","0,100","0,200"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036604,30/05/2025,13:55:31,GRAMPEADOR LINEAR CORTANTE PARA,,-1.0,UN,"617,644040","0,100","0,100"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,SISTEMA FECHADO DE ASPIRAÇÃO,,-20.0,UN,"367,968336","0,100","2,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,FIO DE SUTURA DE POLIGLECAPRONE,,-72.0,EN,"507,547966","0,005","0,360"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,"AZUL DE TRIPAN 0,1 FRASCO 1 ML",,-20.0,FR,"420,048327","0,100","2,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,FILTRO ANTIBACTERIANO DESCARTÁVEL,,-100.0,UN,"634,982509","0,100","10,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,CURATIVO COM FILME TRANSPARENTE,,-300.0,UM,"238,442415","0,008","2,400"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,FIO DE SUTURA DE POLIAMIDA,,-240.0,EN,"319,975531","0,005","1,200"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,FIO DE SUTURA DE POLIAMIDA,,-240.0,EN,"323,009940","0,005","1,200"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,FIO DE SUTURA DE POLIPROPILENO,,-120.0,EN,"229,955575","0,005","0,600"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,"FIO DE SUTURA DE SEDA TRANCADA 2-0,",,-72.0,EN,"334,780322","0,005","0,360"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,FIO DE SUTURA DE POLIAMIDA,,-72.0,EN,"380,078387","0,005","0,360"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,FITA CIRURGICA HIPOALERGENICA,,-96.0,RL,"420,493870","0,050","4,800"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,LAMINA P/BISTURI N. 11,,-1.0,UM,"197,466230","0,001","0,001"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,LAMINA P/BISTURI N. 22,,-600.0,UM,"126,595662","0,001","0,600"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,LAMINA P/BISTURI N. 24,,-500.0,UM,"102,016315","0,001","0,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036821,02/06/2025,07:44:52,MASCARA LARÍNGEA Nº4 (50KG A 70KG),,-10.0,UN,"146,090529","0,100","1,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036913,02/06/2025,10:09:50,AMOXICILINA + CLAVULANATO DE 09.J.01.C,,-300.0,CP,"364,227540","0,100","30,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036913,02/06/2025,10:09:50,AZITROMICINA COMPRIMIDO 500 MG 09.J.01.F G,,-150.0,CP,"112,275882","0,001","0,150"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036913,02/06/2025,10:09:50,IBUPROFENO COMPRIMIDO 600 MG 09.M.01.A,,-1.0,CP,"119,578950","0,001","0,001"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036913,02/06/2025,10:09:50,METOPROLOL (SUCCINATO) COMPRIMIDO 09.C.07.,,-300.0,CP,"122,700387","0,001","0,300"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036913,02/06/2025,10:09:50,PREDNISONA COMPRIMIDO 5 MG 09.H.02.A,,-2.0,CP,"121,410180","0,001","0,002"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036945,02/06/2025,11:02:17,TIAMINA (VITAMINA B1) COMPRIMIDO 300 09.A.,,-600.0,CP,"130,358664","0,001","0,600"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/036974,02/06/2025,11:36:58,FIO DE SUTURA DE POLIGLECAPRONE,,-120.0,UM,"616,800000","0,005","0,600"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037047,02/06/2025,14:47:16,ACICLOVIR (SODICO) PO PARA SOLUCAO 09.J.05,,-50.0,FA,"280,001937","0,150","7,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037047,02/06/2025,14:47:16,AGUA PARA INJETAVEIS AMPOLA 10 ML 09.V.07.,,-3.6,AM,"788,888844","0,100","0,360"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037047,02/06/2025,14:47:16,AMICACINA (SULFATO) SOLUCAO 09.J.01.G,,-50.0,AM,"220,852453","0,150","7,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037047,02/06/2025,14:47:16,AMIODARONA SOLUCAO INJETAVEL 50 09.C.01.B,,-100.0,AM,"257,595349","0,150","15,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037047,02/06/2025,14:47:16,AZITROMICINA PO PARA SOLUCAO 09.J.01.F,,-50.0,FA,"602,708123","0,150","7,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037047,02/06/2025,14:47:16,BUPIVACAINA (CLORIDRATO) + GLICOSE 09.N.01,,-50.0,AM,"147,095705","0,100","5,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037047,02/06/2025,14:47:16,BUTILBROMETO DE ESCOPOLAMINA 09.A.03.B,,-800.0,AM,"746,620248","0,100","80,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,"FIXADOR ADESIVO DE CANULA, SONDA E",,-180.0,UN,"306,503431","0,015","2,700"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,LINHA ARTERIAL DE ENTRADA SIMPLES,,-48.0,UN,"296,482296","0,100","4,800"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,PAPEL GRAU CIRURGICO 25CM X 100M,,-10.0,RL,"886,433340","1,000","10,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,"SERINGA HIPODERMICA 1ML SEM AGULHA,",,-1.5,UN,"134,345640","0,002","0,003"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,"AGULHA HIPODERMICA 30 X 0,8 COM",,-4.0,UN,"918,941160","0,002","0,008"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,"AGULHA HIPODÉRMICA 13 X 0,45 COM",,-1.0,UN,"227,074040","0,002","0,002"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,PAPEL GRAU CIRÚRGICO 15CM X 100M,,-12.0,RL,"639,305208","0,100","1,200"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,"FRASCO COLETOR, 500 A 600 ML, PARA",,-58.0,UN,"497,220555","0,050","2,900"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,FRASCO COLETOR DE SECREÇAO,,-80.0,UN,"302,497115","0,050","4,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,SERINGA PERDA DE RESISTÊNCIA PARA,,-30.0,UN,"541,261042","0,012","0,360"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,AGULHA ANESTÉSICA APLICAÇÃO DE,,-50.0,UN,"474,657295","0,002","0,100"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,COLETOR DE SECREÇÃO PARA DRENAGEM,,-24.0,UN,"501,628136","0,100","2,400"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,SONDA ASPIRAÇÃO TRAQUEAL Nº 14,,-1.2,UM,"520,918416","0,015","0,018"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,SONDA ASPIRAÇÃO TRAQUEAL Nº 04,,-2.0,UM,"833,415040","0,015","0,030"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,SONDA ASPIRAÇÃO TRAQUEAL Nº 12,,-940.0,UM,"400,413323","0,015","14,100"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037239,03/06/2025,09:12:18,SONDA URETRAL Nº 04,,-400.0,UM,"167,812364","0,015","6,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,CLINDAMICINA SOLUCAO INJETAVEL 150 09.J.01,,-300.0,AM,"858,423225","0,150","45,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,CLONIDINA (CLORIDRATO) SOLUÇAO 09.C.02.A,,-50.0,AM,"210,402930","0,100","5,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,DEXAMETASONA SOLUCAO INJETAVEL 4 09.H.02.A,,-200.0,UN,"189,312638","0,150","30,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,DOBUTAMINA (CLORIDRATO) SOLUCAO 09.C.01.C,,-50.0,AM,"260,899997","0,150","7,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,EFEDRINA (SULFATO) SOLUCAO INJETAVEL 09.C.,,-100.0,AM,"482,342215","0,150","15,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,EPINEFRINA SOLUCAO INJETAVEL 1 MG/ML 09.C.,,-300.0,AM,"329,509551","0,150","45,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,GENTAMICINA SOLUCAO INJETAVEL 40 09.J.01.G,,-100.0,AM,"105,307924","0,150","15,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,GLICINA (ACIDO AMINOACETICO) SOLUÇÃO 09.B.,,-12.0,UN,"542,026510","0,150","1,800"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,GLICONATO DE CALCIO SOLUÇAO 09.A.12.A,,-200.0,AM,"347,895334","0,100","20,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,GLICOSE SOLUÇAO INJETAVEL 50 % 09.V.06.D,,-2.0,AM,"858,324280","0,100","0,200"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,LEVOFLOXACINO SOLUÇAO INJETAVEL 500 09.J.0,,-72.0,UN,"578,906035","0,100","7,200"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,LIDOCAINA + EPINEFRINA SOLUCAO 09.N.01.B,,-50.0,FA,"256,337488","0,150","7,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,METOCLOPRAMIDA SOLUCAO INJETAVEL 5 09.A.03,,-960.0,AM,"508,551485","0,150","144,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037266,03/06/2025,09:28:52,N-ACETILCISTEINA SOLUCAO INJETAVEL 09.R.05,,-50.0,AM,"168,995081","0,150","7,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037277,03/06/2025,09:33:41,AMBROXOL XAROPE 6 MG/ML FRASCO 100 09.R.05,,-60.0,FR,"133,213715","0,250","15,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037277,03/06/2025,09:33:41,CLOREXIDINA SOLUCAO AQUOSA 10 MG/ML 09.D.0,,-72.0,FR,"640,810554","0,150","10,800"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037277,03/06/2025,09:33:41,"DEXAMETASONA (ACETATO) CREME 0,1 % 09.D.07",,-100.0,BS,"135,847712","0,050","5,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037277,03/06/2025,09:33:41,DEXCLORFENIRAMINA SOLUÇAO ORAL 09.R.06.A,,-57.0,FR,"114,097282","0,100","5,700"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037284,03/06/2025,09:40:33,FOSFATO DE SODIO MONOBASICO + 09.A.06.A,,-48.0,UN,"277,577126","0,100","4,800"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037284,03/06/2025,09:40:33,IODOPOVIDONA (IODOPOLIVIDONA) 09.D.08.A,,-24.0,FR,"793,941021","0,100","2,400"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037284,03/06/2025,09:40:33,IODOPOVIDONA (IODOPOLIVIDONA) 09.D.08.A,,-12.0,FR,"360,029196","0,100","1,200"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037284,03/06/2025,09:40:33,LORATADINA XAROPE 1 MG/ML FRASCO 100 09.R.,,-50.0,FR,"140,123210","0,250","12,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037284,03/06/2025,09:40:33,NISTATINA SUSPENSAO ORAL 100.000 UI/ML 09.,,-50.0,FR,"244,366425","0,150","7,500"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037284,03/06/2025,09:40:33,OLEO MINERAL 100 % PURO FRASCO 100 09.A.06,,-100.0,FR,"299,946781","0,100","10,000"
Distribuição Farmácia Central x HRAN.pdf,5 - FARMACIA CENTRAL,5065 - FARMÁCIA - HRAN,5-25/037284,03/06/2025,09:40:33,SIMETICONA EMULSAO OU SOLUÇAO OU 09.A.03.A,,-200.0,FR,"292,809476","0,150","30,000"
